CODIGO;POP2017;CLASSEPOP
2206720;8425;2
2206753;4786;1
2206803;8547;2
2206902;6466;2
2206951;2940;1
2207009;36432;4
2207108;2417;1
2207207;6758;2
2207306;4065;1
2207355;3333;1
2207405;4967;1
2207504;14295;3
2207553;3886;1
2207603;10613;3
2207702;150547;6
2207751;4500;1
2207777;6288;2
2207793;3975;1
2207801;20192;4
2207850;3623;1
2207900;38127;4
2207934;2495;1
2207959;4302;1
2208007;76928;5
2208106;11935;3
2208205;18125;3
2208304;28312;4
2208403;62733;5
2208502;12358;3
2208551;2664;1
2208601;3103;1
2208650;8842;2
2208700;8634;2
2208809;17698;3
2208858;4246;1
2208874;4403;1
2208908;7214;2
2209005;6331;2
2209104;6140;2
2209153;3952;1
2209203;6156;2
2209302;5761;2
2209351;4559;1
2209377;5175;2
2209401;6305;2
2209450;2125;1
2209500;3731;1
2209559;4377;1
2209609;2901;1
2209658;5657;2
2209708;6324;2
2209757;2988;1
2209807;4931;1
2209856;4534;1
2209872;5938;2
2209906;6050;2
2209955;4762;1
2209971;7847;2
2210003;20258;4
2210052;5260;2
2210102;3689;1
2210201;6602;2
2210300;6261;2
2210359;4501;1
2210375;2602;1
2210383;2413;1
2210391;2991;1
2210409;17395;3
2210508;14056;3
2210607;34109;4
2210623;3421;1
2210631;4224;1
2210656;9880;2
2210706;14398;3
2210805;12488;3
2210904;4500;1
2210938;6612;2
2210953;2870;1
2210979;2719;1
2211001;850198;7
2211100;43761;4
2211209;21188;4
2211308;20588;4
2211357;4873;1
2211407;4325;1
2211506;3029;1
2211605;2931;1
2211704;4390;1
2300101;11605;3
2300150;16543;3
2300200;62199;5
2300309;53572;5
2300408;17194;3
2300507;11459;3
2300606;7479;2
2300705;16976;3
2300754;42901;4
2300804;7278;2
2300903;14719;3
2301000;79128;5
2301109;73629;5
2301208;26269;4
2301257;10823;3
2301307;21398;4
2301406;11244;3
2301505;7777;2
2301604;23254;4
2301703;24496;4
2301802;6228;2
2301851;18027;3
2301901;59811;5
2301950;20978;4
2302008;22440;4
2302057;14880;3
2302107;35351;4
2302206;53110;5
2302305;32378;4
2302404;54049;5
2302503;48830;4
2302602;62985;5
2302701;27209;4
2302800;77514;5
2302909;17668;3
2303006;22320;4
2303105;18660;3
2303204;26892;4
2303303;18804;3
2303402;17631;3
2303501;71079;5
2303600;20451;4
2303659;10365;3
2303709;362223;6
2303808;25063;4
2303907;12952;3
2303931;13384;3
2303956;19197;3
2304004;23107;4
2304103;74426;5
2304202;130604;6
2304236;17874;3
2304251;23983;4
2304269;9521;2
2304277;7163;2
2304285;52667;5
2304301;18720;3
2304350;24047;4
2304400;2627482;7
2304459;16272;3
2304509;13669;3
2304608;6922;2
2304657;15307;3
2304707;54365;5
2304806;4425;1
2304905;11012;3
2304954;26331;4
2305001;39445;4
2305100;3547;1
2305209;20215;4
2305233;65928;5
2305266;13218;3
2305308;24825;4
2305332;12350;3
2305357;19685;3
2305407;67486;5
2305506;102614;6
2305605;25967;4
2305654;11499;3
2305704;12349;3
2305803;41576;4
2305902;37896;4
2306009;14125;3
2306108;23858;4
2306207;7738;2
2306256;39310;4
2306306;51945;5
2306405;127465;6
2306504;20014;4
2306553;41230;4
2306603;20675;4
2306702;17958;3
2306801;11295;3
2306900;34448;4
2307007;33740;4
2307106;27076;4
2307205;7847;2
2307254;19510;3
2307304;270383;6
2307403;24597;4
2307502;31335;4
2307601;58915;5
2307635;19800;3
2307650;224804;6
2307700;126486;6
2307809;26981;4
2307908;11082;3
2308005;38210;4
2308104;46548;4
2308203;14948;3
2308302;28231;4
2308351;13136;3
2308377;13583;3
2308401;35409;4
2308500;43735;4
2308609;17038;3
2308708;61548;5
2308807;8636;2
2308906;22222;4
2309003;14377;3
2309102;12831;3
2309201;15433;3
2309300;32035;4
2309409;28353;4
2309458;25394;4
2309508;21292;4
2309607;70911;5
2309706;82824;5
2309805;11960;3
2309904;6202;2
2310001;9285;2
2310100;13145;3
2310209;33894;4
2310258;32515;4
2310308;31137;4
2310407;11578;3
2310506;42841;4
2310605;8956;2
2310704;37077;4
2310803;16163;3
2310852;20644;4
2310902;16731;3
2310951;10784;3
2311009;12243;3
2311108;14921;3
2311207;10918;3
2311231;6356;2
2311264;20860;4
2311306;86605;5
2311355;14860;3
2311405;78658;5
2311504;21876;4
2311603;27441;4
2311702;18769;3
2311801;76475;5
2311900;15678;3
2311959;16331;3
2312007;32023;4
2312106;17489;3
2312205;43360;4
2312304;46648;4
2312403;48265;4
2312502;7621;2
2312601;12849;3
2312700;26447;4
2312809;7513;2
2312908;205529;6
2313005;18158;3
2313104;30489;4
2313203;25525;4
2313252;8852;2
2313302;58119;5
2313351;18902;3
2313401;74719;5
2313500;55207;5
2313559;15935;3
2313609;34332;4
2313708;7671;2
2313757;19679;3
2313807;21609;4
2313906;13677;3
2313955;18239;3
2314003;40440;4
2314102;60030;5
2400109;11333;3
2400208;58183;5
2400307;11211;3
2400406;3260;1
2400505;13827;3
2400604;4854;1
2400703;14365;3
2400802;11909;3
2400901;7237;2
2401008;36323;4
2401107;27401;4
2401206;14307;3
2401305;9768;2
2401404;9309;2
2401453;28085;4
2401503;4064;1
2401602;5527;2
2401651;2307;1
2401701;10254;3
2401800;12720;3
2401859;6624;2
2401909;3680;1
2402006;68222;5
2402105;11244;3
2402204;34267;4
2402303;20707;4
2402402;8188;2
2402501;10715;3
2402600;73849;5
2402709;11344;3
2402808;5593;2
2402907;4980;1
2403004;8147;2
2403103;45228;4
2403202;7190;2
2403251;254709;6
2403301;5666;2
2403400;6119;2
2403509;10702;3
2403608;28331;4
2403707;6052;2
2403756;3072;1
2403806;9262;2
2403905;2890;1
2404002;4180;1
2404101;2715;1
2404200;26068;4
2404309;13157;3
2404408;10386;3
2404507;15309;3
2404606;13714;3
2404705;15464;3
2404804;2251;1
2404853;7571;2
2404903;5930;2
2405009;9068;2
2405108;6942;2
2405207;5386;2
2405306;10096;3
2405405;5247;2
2405504;2663;1
2405603;14858;3
2405702;12579;3
2405801;35087;4
2405900;2695;1
2406007;6050;2
2406106;18530;3
2406155;3910;1
2406205;6793;2
2406304;7579;2
2406403;2771;1
2406502;15590;3
2406601;8269;2
2406700;11316;3
2406809;4822;1
2406908;4002;1
2407005;10211;3
2407104;80031;5
2407203;31859;4
2407252;4002;1
2407302;8492;2
2407401;8793;2
2407500;12223;3
2407609;4608;1
2407708;11503;3
2407807;22462;4
2407906;2178;1
2408003;295619;6
2408102;885180;7
2408201;27372;4
2408300;37695;4
2408409;4349;1
2408508;4882;1
2408607;4276;1
2408706;3859;1
2408805;5258;2
2408904;21669;4
2408953;10901;3
2409100;13099;3
2409209;3109;1
2409308;12844;3
2409332;5500;2
2409407;30452;4
2409506;3356;1
2409605;2532;1
2409704;6938;2
2409803;14954;3
2409902;15083;3
2410009;3836;1
2410108;15418;3
2410207;7909;2
2410256;6789;2
2410306;10099;3
2410405;9568;2
2410504;5115;2
2410603;3234;1
2410702;3566;1
2410801;4277;1
2410900;8075;2
2411007;4545;1
2411056;4100;1
2411106;3669;1
2411205;39667;4
2411403;13289;3
2411429;2701;1
2411502;24220;4
2411601;2846;1
2411700;4425;1
2411809;3617;1
2411908;4238;1
2412005;101492;6
2412104;6260;2
2412203;43995;4
2412302;13007;3
2412401;4643;1
2412500;23610;4
2412559;9606;2
2412609;17572;3
2412708;6139;2
2412807;8343;2
2412906;11223;3
2413003;6469;2
2413102;6188;2
2413201;4423;1
2413300;5870;2
2413359;11838;3
2413409;8175;2
2413508;6422;2
2413557;4841;1
2413607;3150;1
2413706;5528;2
2413805;2566;1
2413904;12428;3
2414001;15866;3
2414100;10814;3
2414159;5912;2
2414209;13895;3
2414308;2437;1
2414407;34043;4
2414456;3327;1
2414506;10781;3
2414605;14609;3
2414704;5554;2
2414753;4187;1
2414803;12371;3
2414902;1731;1
2415008;3173;1
2500106;10258;3
2500205;5562;2
2500304;28565;4
2500403;20689;4
2500502;14464;3
2500536;5499;2
2500577;2501;1
2500601;19579;3
2500700;17940;3
2500734;2246;1
2500775;8430;2
2500809;17003;3
2500908;13538;3
2501005;20418;4
2501104;22776;4
2501153;2126;1
2501203;6975;2
2501302;19154;3
2501351;3921;1
2501401;9070;2
2501500;21156;4
2501534;4925;1
2501575;8241;2
2501609;15421;3
2501708;5979;2
2501807;97010;5
2501906;17685;3
2502003;7347;2
2502052;3438;1
2502102;5349;2
2502151;7083;2
2502201;2567;1
2502300;4972;1
2502409;11938;3
2502508;17842;3
2502607;6173;2
2502706;5430;2
2502805;14107;3
2502904;6457;2
2503001;21872;4
2503100;5570;2
2503209;68033;5
2503308;10265;3
2503407;3749;1
2503506;17156;3
2503555;7183;2
2503605;7283;2
2503704;62187;5
2503753;3197;1
2503803;6025;2
2503902;6020;2
2504009;410332;6
2504033;6552;2
2504074;4171;1
2504108;2667;1
2504157;7476;2
2504207;4934;1
2504306;30534;4
2504355;4839;1
2504405;18944;3
2504504;6753;2
2504603;24769;4
2504702;4789;1
2504801;15426;3
2504850;1925;1
2504900;17559;3
2505006;7274;2
2505105;20348;4
2505204;6790;2
2505238;6358;2
2505279;5232;2
2505303;2517;1
2505352;5343;2
2505402;8306;2
2505501;3808;1
2505600;6550;2
2505709;10383;3
2505808;3594;1
2505907;3528;1
2506004;33266;4
2506103;11313;3
2506202;2990;1
2506251;8435;2
2506301;58881;5
2506400;14134;3
2506509;3436;1
2506608;5925;2
2506707;11833;3
2506806;18163;3
2506905;24475;4
2507002;24842;4
2507101;18715;3
2507200;10876;3
2507309;14378;3
2507408;7742;2
2507507;811598;7
2507606;7950;2
2507705;18213;3
2507804;7165;2
2507903;10770;3
2508000;9868;2
2508109;4666;1
2508208;7670;2
2508307;27543;4
2508406;2725;1
2508505;7386;2
2508554;4343;1
2508604;13121;3
2508703;4009;1
2508802;5665;2
2508901;45005;4
2509008;11120;3
2509057;8586;2
2509107;21854;4
2509156;6614;2
2509206;13853;3
2509305;8466;2
2509339;4537;1
2509370;2915;1
2509396;6587;2
2509404;13286;3
2509503;5691;2
2509602;4825;1
2509701;33294;4
2509800;9922;2
2509909;10460;3
2510006;7296;2
2510105;10639;3
2510204;5944;2
2510303;4910;1
2510402;6512;2
2510501;3951;1
2510600;3042;1
2510659;1769;1
2510709;2424;1
2510808;107790;6
2510907;12308;3
2511004;3803;1
2511103;8122;2
2511202;28499;4
2511301;16091;3
2511400;18737;3
2511509;11938;3
2511608;6607;2
2511707;5080;2
2511806;10585;3
2511905;19182;3
2512002;18622;3
2512036;3770;1
2512077;4318;1
2512101;32766;4
2512200;4179;1
2512309;23489;4
2512408;13715;3
2512507;44214;4
2512606;1964;1
2512705;19579;3
2512721;6099;2
2512747;3607;1
2512754;4529;1
2512762;4519;1
2512788;1985;1
2512804;8609;2
2512903;24154;4
2513000;3980;1
2513109;12145;3
2513158;6557;2
2513208;6585;2
2513307;5887;2
2513356;3596;1
2513406;15401;3
2513505;5159;2
2513604;7024;2
2513653;2690;1
2513703;136851;6
2513802;4573;1
2513851;2519;1
2513901;34215;4
2513927;4540;1
2513943;2601;1
2513968;3120;1
2513984;3363;1
2514008;4296;1
2514107;4423;1
2514206;7679;2
2514305;6279;2
2514404;4635;1
2514453;5969;2
2514503;20163;4
2514552;3842;1
2514602;3566;1
2514651;1806;1
2514701;4145;1
2514800;3711;1
2514909;7721;2
2515005;7180;2
2515104;11845;3
2515203;3496;1
2515302;52697;5
2515401;11084;3
2515500;13707;3
2515609;3121;1
2515708;3100;1
2515807;7020;2
2515906;6093;2
2515930;5044;2
2515971;7795;2
2516003;26376;4
2516102;14987;3
2516151;3567;1
2516201;69554;5
2516300;16957;3
2516409;10967;3
2516508;15276;3
2516607;14661;3
2516706;15191;3
2516755;3066;1
2516805;9482;2
2516904;15382;3
2517001;9913;2
2517100;2820;1
2517209;5358;2
2517407;2245;1
2600054;99364;5
2600104;37017;4
2600203;19411;3
2600302;24644;4
2600401;36371;4
2600500;43087;4
2600609;14517;3
2600708;38267;4
2600807;22896;4
2600906;22726;4
2601003;11045;3
2601052;20268;4
2601102;83757;5
2601201;73667;5
2601300;14224;3
2601409;42438;4
2601508;11992;3
2601607;20670;4
2601706;75986;5
2601805;12637;3
2601904;60549;5
2602001;37816;4
2602100;48214;4
2602209;39025;4
2602308;38044;4
2602407;8973;2
2602506;7465;2
2602605;50138;5
2602704;13085;3
2602803;57696;5
2602902;204653;6
2603009;33856;4
2603108;20209;4
2603207;28500;4
2603306;11055;3
2603405;5736;2
2603454;156361;6
2603504;18583;3
2603603;8493;2
2603702;24762;4
2603801;19991;3
2603900;19440;3
2603926;12805;3
2604007;82685;5
2604106;356128;6
2604155;14274;3
2604205;42343;4
2604304;11695;3
2604403;13396;3
2604502;21525;4
2604601;26186;4
2604700;18098;3
2604809;12560;3
2604908;11559;3
2605004;23977;4
2605103;36753;4
2605152;18692;3
2605202;68281;5
2605301;31790;4
2605400;21958;4
2605459;3016;1
2605509;12057;3
2605608;22567;4
2605707;32483;4
2605806;15328;3
2605905;30709;4
2606002;138642;6
2606101;30425;4
2606200;79249;5
2606309;7417;2
2606408;83241;5
2606507;19100;3
2606606;28985;4
2606705;7735;2
2606804;115398;6
2606903;12175;3
2607000;22801;4
2607109;4542;1
2607208;94533;5
2607307;30447;4
2607406;4858;1
2607505;26314;4
2607604;25789;4
